"species"	"x"	"y"
"Trigona spinipes"	-34.822509	-7.195697
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853621	-7.155975
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.853621	-7.155975
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.853621	-7.155975
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.853621	-7.155975
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
